"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.931984694E0,-1.781000018E0,1.391699982E1,-1.710999966E0
6.951984694E0,-2.930000067E0,8.727000237E0,-3.453000069E0
6.971984694E0,-2.834000111E0,5.969999790E0,-7.340000272E-1
6.991984694E0,1.909999996E-1,7.578000069E0,1.544000030E0
7.011984694E0,3.982000113E0,9.741999626E0,3.459000111E0
7.031984694E0,5.399000168E0,9.666000366E0,2.213999987E0
7.051984694E0,3.561000109E0,1.023999977E1,2.252000093E0
7.071984694E0,6.119999886E-1,9.895000458E0,2.404999971E0
7.091984694E0,-1.531999946E0,9.015000343E0,2.098999977E0
7.111984694E0,-2.335999966E0,7.827000141E0,1.927000046E0
7.131984694E0,-2.489000082E0,6.755000114E0,1.830999970E0
7.151984694E0,-2.029999971E0,6.199999809E0,2.367000103E0
7.171984694E0,-1.435999990E0,6.448999882E0,2.788000107E0
7.191984694E0,-1.167999983E0,7.271999836E0,2.865000010E0
7.211984694E0,-8.040000200E-1,7.941999912E0,2.654000044E0
7.231984694E0,-3.440000117E-1,8.267999649E0,2.367000103E0
7.251984694E0,-2.680000067E-1,8.420999527E0,2.270999908E0
7.271984694E0,-4.399999976E-1,8.402000427E0,2.654000044E0
7.291984694E0,-6.129999757E-1,8.210000038E0,2.999000072E0
7.311984694E0,-6.510000229E-1,8.305999756E0,3.095000029E0
7.331984694E0,-4.399999976E-1,9.015000343E0,3.075999975E0
7.351984694E0,7.599999756E-2,1.035499954E1,3.286000013E0
7.371984694E0,1.187000036E0,1.160000038E1,4.052000046E0
7.391984694E0,1.072000027E0,1.257600021E1,3.516000032E0
7.411984694E0,-8.230000138E-1,1.288300037E1,3.075999975E0
7.431984694E0,-7.850000262E-1,1.355300045E1,2.194999933E0
7.451984694E0,-2.796000004E0,1.543000031E1,6.138999939E0
7.471984694E0,-1.225000024E0,1.458699989E1,1.314000010E0
7.491984694E0,-1.531999946E0,1.248099995E1,1.332999945E0
7.511984694E0,-2.700000048E0,6.869999886E0,-9.060000181E-1
7.531984694E0,-2.086999893E0,3.250999928E0,-3.069999933E0
7.551984694E0,-6.320000291E-1,3.002000093E0,-2.496000051E0
7.571984694E0,3.799999878E-2,6.181000233E0,-9.449999928E-1
